,customer,state,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type
1087,RO26233,California,2464,No,Basic,College,2/25/11,Employed,F,31056,Suburban,Divorced,63,5,46,0,1,Personal Auto,Personal L2,Offer3,Agent,302,Four-Door Car,Medsize,A
1088,MN20737,Nevada,2553,No,Basic,College,2/26/11,Employed,F,73935,Rural,Married,64,13,29,1,1,Corporate Auto,Corporate L3,Offer4,Call Center,72,Four-Door Car,Medsize,A
1089,TC29250,California,7350,No,Basic,Bachelor,2/19/11,Unemployed,M,0,Suburban,Single,108,7,54,0,4,Personal Auto,Personal L3,Offer2,Branch,777,Sports Car,Medsize,A
1090,BE55425,Oregon,6403,No,Extended,College,1/31/11,Employed,M,28095,Suburban,Married,82,18,2,0,8,Personal Auto,Personal L3,Offer3,Web,393,Four-Door Car,Medsize,A
1091,ZL73902,Nevada,3265,Yes,Extended,Bachelor,1/26/11,Employed,F,25820,Suburban,Divorced,82,10,69,0,1,Personal Auto,Personal L3,Offer1,Agent,393,Four-Door Car,Medsize,A
1092,TQ32702,Nevada,6990,No,Extended,College,1/27/11,Employed,F,22568,Suburban,Married,88,31,63,0,6,Corporate Auto,Corporate L2,Offer3,Branch,422,Four-Door Car,Medsize,A
1093,QU55718,California,10978,No,Extended,Bachelor,2/12/11,Employed,F,92914,Suburban,Married,136,24,55,0,8,Personal Auto,Personal L1,Offer1,Agent,979,Sports Car,Large,A
1094,BV55014,Oregon,7268,No,Basic,Bachelor,2/8/11,Employed,M,24445,Suburban,Single,63,18,15,0,2,Personal Auto,Personal L3,Offer1,Agent,302,Two-Door Car,Medsize,A
1095,LY73893,California,5563,No,Basic,College,1/21/11,Employed,M,35398,Suburban,Divorced,71,26,41,0,7,Personal Auto,Personal L3,Offer3,Agent,340,Four-Door Car,Medsize,A
1096,YA52900,Oregon,8304,No,Extended,College,2/19/11,Unemployed,M,0,Suburban,Married,122,22,14,2,9,Corporate Auto,Corporate L3,Offer2,Agent,681,SUV,Small,A
1097,JO75190,Nevada,8673,No,Basic,Bachelor,1/31/11,Employed,M,43963,Suburban,Married,110,25,59,0,7,Corporate Auto,Corporate L3,Offer3,Agent,528,SUV,Medsize,A
1098,BH35016,Nevada,16706,No,Basic,Bachelor,2/9/11,Employed,F,63933,Suburban,Divorced,70,35,98,0,2,Personal Auto,Personal L3,Offer1,Call Center,424,Two-Door Car,Medsize,A
1099,NM44679,California,9783,No,Extended,College,2/25/11,Unemployed,M,0,Suburban,Married,136,33,21,0,5,Personal Auto,Personal L2,Offer1,Call Center,979,SUV,Medsize,A
1100,XS36281,Washington,5570,No,Extended,College,1/29/11,Employed,F,85718,Urban,Single,139,4,98,1,1,Personal Auto,Personal L3,Offer1,Branch,540,Sports Car,Medsize,A
1101,KU56006,Arizona,5536,No,Basic,College,1/7/11,Employed,F,52220,Suburban,Married,70,17,42,1,5,Personal Auto,Personal L2,Offer1,Call Center,336,Four-Door Car,Small,A
1102,BA66627,Nevada,36229,No,Basic,Bachelor,1/21/11,Employed,F,22220,Rural,Single,105,29,46,0,2,Personal Auto,Personal L3,Offer1,Branch,22,Sports Car,Medsize,A
1103,WV39838,Arizona,2436,No,Basic,College,2/8/11,Unemployed,F,0,Rural,Married,65,34,84,0,1,Personal Auto,Personal L3,Offer2,Branch,149,Two-Door Car,Large,A
1104,QY37300,Nevada,13502,No,Basic,Master,2/21/11,Employed,M,57222,Urban,Married,112,3,88,1,2,Personal Auto,Personal L2,Offer2,Branch,297,Sports Car,Medsize,A
1105,VA77345,Oregon,3531,No,Extended,College,2/25/11,Employed,F,26884,Urban,Married,89,11,84,0,1,Special Auto,Special L2,Offer4,Call Center,238,Four-Door Car,Medsize,A
1106,TA31436,California,8132,No,Basic,Bachelor,1/9/11,Employed,F,36737,Suburban,Married,102,13,20,0,8,Corporate Auto,Corporate L3,Offer1,Agent,512,Sports Car,Large,A
1107,XR74789,Washington,7199,No,Extended,College,1/14/11,Employed,F,63328,Suburban,Married,89,19,19,0,9,Personal Auto,Personal L2,Offer2,Web,427,Two-Door Car,Medsize,A
1108,RB28630,Oregon,5894,No,Basic,High School or Below,2/20/11,Employed,F,39381,Suburban,Married,74,6,55,1,7,Personal Auto,Personal L3,Offer2,Branch,355,Four-Door Car,Small,A
1109,JX10102,Arizona,3223,No,Extended,High School or Below,2/22/11,Unemployed,F,0,Suburban,Single,91,35,12,1,1,Personal Auto,Personal L2,Offer3,Agent,655,Four-Door Car,Small,A
1110,QS79556,Arizona,9414,No,Extended,College,1/28/11,Disabled,F,20455,Suburban,Married,84,14,40,2,2,Corporate Auto,Corporate L3,Offer3,Branch,564,Two-Door Car,Medsize,A
1111,RZ89359,California,2450,No,Basic,College,1/11/11,Employed,F,61883,Rural,Divorced,62,11,62,0,1,Personal Auto,Personal L1,Offer4,Web,18,Four-Door Car,Medsize,A
1112,SX85653,Arizona,5522,No,Extended,Doctor,1/25/11,Employed,F,85609,Suburban,Married,136,22,17,0,1,Personal Auto,Personal L3,Offer2,Agent,652,SUV,Medsize,A
1113,JD19036,Arizona,16261,No,Extended,Master,2/18/11,Employed,F,41671,Urban,Single,136,15,30,0,2,Personal Auto,Personal L1,Offer1,Agent,570,SUV,Medsize,A
1114,GW42895,Oregon,17625,No,Basic,Bachelor,1/25/11,Employed,F,77803,Urban,Married,63,30,18,0,2,Personal Auto,Personal L3,Offer2,Agent,217,Four-Door Car,Medsize,A
1115,OO96627,California,3531,No,Extended,High School or Below,2/11/11,Unemployed,M,0,Suburban,Single,98,23,46,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,958,Two-Door Car,Small,A
1116,QZ42725,Washington,2310,No,Basic,Bachelor,1/1/11,Unemployed,F,0,Suburban,Single,64,12,24,0,1,Personal Auto,Personal L3,Offer2,Agent,460,Four-Door Car,Medsize,A
1117,ZG19911,California,2552,No,Basic,Bachelor,2/2/11,Employed,F,35149,Rural,Married,64,26,33,0,1,Personal Auto,Personal L2,Offer4,Web,120,Two-Door Car,Medsize,A
1118,WM19967,California,19884,No,Basic,College,1/12/11,Employed,F,63755,Urban,Married,62,28,40,0,2,Personal Auto,Personal L2,Offer2,Web,291,Two-Door Car,Medsize,A
1119,LQ68252,Oregon,3738,No,Basic,High School or Below,2/11/11,Retired,M,27208,Suburban,Single,102,10,65,0,1,Personal Auto,Personal L2,Offer1,Web,489,SUV,Medsize,A
1120,FB77856,Nevada,3873,Yes,Basic,College,1/20/11,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal Auto,Personal L3,Offer2,Agent,701,Sports Car,Medsize,A
1121,GE50763,Washington,3491,No,Premium,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,104,30,88,0,1,Corporate Auto,Corporate L1,Offer1,Agent,748,Four-Door Car,Medsize,A
1122,EK95340,Washington,8355,No,Premium,Master,2/11/11,Employed,M,49564,Suburban,Divorced,105,8,29,0,5,Corporate Auto,Corporate L1,Offer3,Web,661,Four-Door Car,Small,A
1123,SB60942,Arizona,7258,No,Basic,College,1/18/11,Employed,M,88082,Urban,Married,61,10,45,1,2,Personal Auto,Personal L1,Offer4,Branch,218,Two-Door Car,Medsize,A
1124,PY98041,Oregon,5406,No,Basic,Bachelor,1/20/11,Employed,M,27166,Suburban,Single,71,29,51,0,5,Personal Auto,Personal L3,Offer2,Web,340,Four-Door Car,Medsize,A
1125,FS42516,Oregon,5802,No,Basic,College,1/29/11,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Offer2,Call Center,389,Four-Door Car,Large,A
1126,DW71192,Oregon,5971,No,Extended,High School or Below,1/21/11,Employed,M,52018,Suburban,Divorced,78,17,37,3,7,Personal Auto,Personal L3,Offer1,Agent,374,Four-Door Car,Medsize,A
1127,IY31142,Oregon,2444,No,Basic,College,2/9/11,Employed,M,83800,Urban,Single,62,11,44,0,1,Personal Auto,Personal L3,Offer2,Branch,196,Four-Door Car,Medsize,A
1128,SO54368,Oregon,4686,Yes,Basic,College,2/12/11,Employed,M,58089,Suburban,Married,118,31,83,0,1,Personal Auto,Personal L2,Offer1,Agent,566,SUV,Medsize,A
1129,OR40060,Arizona,3323,No,Extended,Bachelor,1/18/11,Employed,M,70410,Rural,Married,83,25,13,0,1,Personal Auto,Personal L3,Offer2,Web,131,Four-Door Car,Medsize,A
1130,FH77504,California,11009,Yes,Premium,Bachelor,1/24/11,Employed,F,51643,Suburban,Single,283,16,43,0,1,Personal Auto,Personal L3,Offer2,Agent,1358,Luxury Car,Medsize,A
1131,MM83308,Arizona,2379,No,Basic,High School or Below,2/21/11,Employed,M,69202,Suburban,Single,61,33,12,0,1,Personal Auto,Personal L2,Offer2,Web,292,Two-Door Car,Small,A
1132,FP86246,California,13211,No,Premium,Bachelor,1/31/11,Employed,M,74656,Urban,Divorced,111,0,6,0,2,Personal Auto,Personal L2,Offer3,Call Center,504,Four-Door Car,Medsize,A
1133,VU87728,Nevada,4846,No,Basic,High School or Below,1/25/11,Unemployed,M,0,Suburban,Single,72,31,75,0,9,Personal Auto,Personal L2,Offer4,Agent,518,Four-Door Car,Medsize,A
1134,IO14680,Oregon,8838,Yes,Basic,Bachelor,1/21/11,Employed,M,82664,Rural,Married,114,24,10,3,9,Corporate Auto,Corporate L3,Offer2,Agent,133,SUV,Medsize,A
1135,IZ71030,California,2570,No,Basic,College,2/8/11,Employed,F,69446,Rural,Married,64,23,32,1,1,Personal Auto,Personal L2,Offer3,Branch,26,Four-Door Car,Medsize,A
1136,AT24793,Oregon,6863,No,Premium,College,1/16/11,Employed,M,25352,Suburban,Married,173,10,65,0,1,Special Auto,Special L3,Offer3,Call Center,830,Sports Car,Medsize,A
1137,XN25550,Oregon,5345,No,Extended,College,1/2/11,Employed,M,55571,Suburban,Married,135,4,46,0,1,Personal Auto,Personal L2,Offer4,Agent,904,SUV,Medsize,A
1138,HF95739,California,8555,No,Extended,High School or Below,1/29/11,Unemployed,M,0,Suburban,Single,81,6,49,0,2,Personal Auto,Personal L3,Offer2,Call Center,583,Four-Door Car,Medsize,A
1139,KX75698,Oregon,5553,No,Extended,High School or Below,1/8/11,Employed,M,96587,Suburban,Married,138,31,99,0,1,Personal Auto,Personal L3,Offer2,Agent,749,SUV,Medsize,A
1140,BY23642,Arizona,4595,No,Basic,Bachelor,1/17/11,Unemployed,F,0,Suburban,Single,64,16,62,0,6,Personal Auto,Personal L3,Offer1,Branch,460,Two-Door Car,Small,A
1141,JN78502,Washington,9384,No,Basic,High School or Below,1/28/11,Employed,F,25370,Suburban,Married,116,21,64,0,3,Special Auto,Special L3,Offer4,Web,556,SUV,Small,A
1142,MM90239,Oregon,6369,Yes,Extended,High School or Below,1/20/11,Employed,M,34498,Suburban,Single,83,30,72,0,7,Personal Auto,Personal L1,Offer2,Branch,398,Two-Door Car,Small,A
1143,EP48362,Arizona,23813,No,Basic,Bachelor,1/27/11,Employed,M,88680,Urban,Married,66,5,66,0,2,Personal Auto,Personal L1,Offer2,Web,201,Four-Door Car,Medsize,A
1144,ES82658,Oregon,6418,No,Extended,Master,1/3/11,Employed,M,46648,Rural,Divorced,81,8,26,0,7,Personal Auto,Personal L3,Offer4,Web,123,Four-Door Car,Medsize,A
1145,QR79788,Nevada,5811,No,Basic,College,2/8/11,Employed,M,58643,Urban,Divorced,74,33,58,0,3,Personal Auto,Personal L1,Offer3,Agent,329,Four-Door Car,Medsize,A
1146,QT90140,Arizona,5332,Yes,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32,30,0,7,Personal Auto,Personal L2,Offer2,Branch,309,Four-Door Car,Medsize,A
1147,FQ24929,Oregon,5479,Yes,Basic,Master,1/13/11,Employed,M,56005,Suburban,Married,68,31,30,1,3,Personal Auto,Personal L3,Offer1,Branch,326,Four-Door Car,Small,A
1148,UU77151,Washington,5182,No,Extended,College,1/25/11,Employed,F,44820,Urban,Married,133,12,62,3,1,Personal Auto,Personal L3,Offer1,Branch,336,Sports Car,Medsize,A
1149,PV39600,California,8417,No,Premium,Bachelor,1/6/11,Employed,M,24285,Suburban,Divorced,111,6,10,0,7,Personal Auto,Personal L3,Offer4,Agent,1257,Two-Door Car,Small,A
1150,LK70293,Nevada,17793,No,Premium,High School or Below,2/18/11,Unemployed,F,0,Suburban,Married,118,26,43,0,2,Personal Auto,Personal L3,Offer1,Web,1118,Four-Door Car,Large,A
1151,LK63879,California,4745,No,Basic,High School or Below,1/27/11,Unemployed,F,0,Suburban,Single,63,23,88,0,3,Personal Auto,Personal L2,Offer1,Branch,523,Four-Door Car,Medsize,A
1152,DS34823,Arizona,4250,Yes,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Personal Auto,Personal L2,Offer1,Agent,292,Four-Door Car,Small,A
1153,XV84099,Arizona,5504,Yes,Basic,Bachelor,2/8/11,Unemployed,F,0,Suburban,Married,73,18,45,0,5,Corporate Auto,Corporate L1,Offer1,Call Center,350,Four-Door Car,Medsize,A
1154,XU67970,Washington,2121,No,Basic,College,1/27/11,Unemployed,M,0,Suburban,Single,62,11,45,0,1,Personal Auto,Personal L3,Offer4,Call Center,446,Two-Door Car,Small,A
1155,QK29271,California,14084,No,Extended,Bachelor,2/22/11,Unemployed,M,0,Suburban,Single,208,22,92,0,3,Corporate Auto,Corporate L1,Offer2,Agent,2270,Luxury Car,Medsize,A
1156,SX50964,Arizona,5224,No,Basic,Bachelor,1/24/11,Employed,F,83389,Urban,Married,65,5,57,0,3,Corporate Auto,Corporate L2,Offer2,Branch,209,Two-Door Car,Small,A
1157,XZ40716,California,8054,No,Premium,High School or Below,1/18/11,Employed,F,75531,Suburban,Single,102,2,13,0,4,Personal Auto,Personal L3,Offer1,Web,489,Four-Door Car,Medsize,A
1158,PW51793,Oregon,7325,No,Extended,Bachelor,1/2/11,Employed,M,52920,Suburban,Divorced,93,18,95,0,3,Personal Auto,Personal L2,Offer1,Branch,1101,Four-Door Car,Small,A
1159,GF70857,Nevada,2933,No,Extended,College,1/28/11,Unemployed,M,0,Rural,Married,83,2,62,0,1,Personal Auto,Personal L3,Offer2,Call Center,199,Four-Door Car,Medsize,A
1160,ZH28728,Oregon,6285,No,Premium,Bachelor,1/29/11,Unemployed,M,0,Suburban,Married,172,5,33,0,1,Personal Auto,Personal L3,Offer1,Call Center,825,SUV,Medsize,A
1161,FN98595,Nevada,7516,No,Extended,High School or Below,2/20/11,Employed,F,31477,Rural,Married,94,22,77,0,3,Special Auto,Special L2,Offer2,Branch,146,Four-Door Car,Medsize,A
1162,MI65698,Oregon,4590,No,Premium,College,2/1/11,Employed,F,28354,Urban,Divorced,118,33,20,0,1,Personal Auto,Personal L3,Offer2,Agent,320,Two-Door Car,Large,A
1163,KA32645,Nevada,5770,No,Extended,College,2/2/11,Unemployed,M,0,Suburban,Single,83,21,67,0,8,Personal Auto,Personal L2,Offer1,Branch,946,Four-Door Car,Medsize,A
1164,ZV43428,Arizona,27789,Yes,Extended,Bachelor,1/20/11,Employed,F,33806,Urban,Divorced,89,32,59,0,2,Special Auto,Special L3,Offer2,Web,395,Four-Door Car,Medsize,A
1165,AB60627,California,15467,No,Extended,High School or Below,1/28/11,Employed,M,77517,Rural,Married,129,19,20,0,2,Corporate Auto,Corporate L2,Offer3,Branch,98,SUV,Medsize,A
1166,JD50909,Arizona,3008,No,Basic,Bachelor,1/17/11,Employed,F,80681,Suburban,Married,74,31,12,0,1,Corporate Auto,Corporate L3,Offer2,Agent,355,Four-Door Car,Medsize,A
1167,EY13576,Oregon,7374,No,Basic,College,1/9/11,Unemployed,F,0,Suburban,Married,110,19,87,4,3,Personal Auto,Personal L2,Offer1,Web,528,SUV,Medsize,A
1168,QO56662,Arizona,2551,Yes,Basic,Master,1/19/11,Employed,M,79751,Suburban,Married,63,15,67,0,1,Personal Auto,Personal L3,Offer3,Web,392,Two-Door Car,Small,A
1169,FL55134,Nevada,10408,Yes,Basic,High School or Below,2/18/11,Retired,M,20228,Suburban,Divorced,101,3,43,1,2,Personal Auto,Personal L3,Offer1,Branch,523,SUV,Medsize,A
1170,RO25639,Nevada,5442,No,Basic,Doctor,2/3/11,Employed,F,25884,Urban,Married,69,18,36,3,9,Personal Auto,Personal L3,Offer2,Branch,292,Four-Door Car,Medsize,A
1171,CE11667,Oregon,7582,Yes,Basic,College,2/3/11,Employed,M,64801,Urban,Married,64,23,19,0,2,Corporate Auto,Corporate L3,Offer2,Web,268,Four-Door Car,Medsize,A
1172,DG30586,Oregon,2867,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374,Four-Door Car,Medsize,A
1173,RP14593,Oregon,3945,No,Basic,Bachelor,1/19/11,Unemployed,F,0,Suburban,Single,105,2,54,0,1,Personal Auto,Personal L2,Offer3,Web,933,SUV,Small,A
1174,ZW51071,Oregon,6622,No,Extended,High School or Below,1/14/11,Employed,F,80979,Rural,Divorced,84,32,27,2,3,Personal Auto,Personal L3,Offer1,Agent,25,Four-Door Car,Medsize,A
1175,GT89774,Arizona,17109,No,Extended,Bachelor,1/13/11,Employed,F,87139,Rural,Married,213,18,27,0,3,Personal Auto,Personal L3,Offer4,Agent,363,Luxury SUV,Medsize,A
1176,DE78840,Nevada,6991,No,Basic,Bachelor,2/22/11,Medical Leave,F,19019,Suburban,Married,186,7,46,0,1,Personal Auto,Personal L3,Offer4,Branch,1003,Luxury SUV,Medsize,A
1177,IU47468,Oregon,6165,No,Extended,Bachelor,1/24/11,Unemployed,F,0,Suburban,Single,88,12,54,0,6,Special Auto,Special L2,Offer3,Web,653,Two-Door Car,Small,A
1178,QA41472,Oregon,13355,No,Basic,Bachelor,1/14/11,Employed,M,34495,Urban,Married,113,27,29,0,2,Personal Auto,Personal L3,Offer3,Branch,389,SUV,Medsize,A
1179,SH13204,California,4741,No,Basic,High School or Below,1/20/11,Unemployed,F,0,Suburban,Single,65,2,73,0,8,Personal Auto,Personal L1,Offer2,Agent,731,Two-Door Car,Medsize,A
1180,DO31181,Oregon,4739,No,Extended,College,1/30/11,Unemployed,F,0,Rural,Married,76,28,55,5,3,Personal Auto,Personal L3,Offer1,Agent,38,Two-Door Car,Medsize,A
1181,SG82836,Oregon,6439,No,Extended,High School or Below,1/14/11,Employed,M,47412,Suburban,Married,81,10,39,0,7,Personal Auto,Personal L2,Offer1,Branch,421,Two-Door Car,Small,A
1182,NX93393,Oregon,4335,No,Premium,High School or Below,2/27/11,Employed,M,86096,Suburban,Married,108,30,1,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,518,Two-Door Car,Large,A
1183,TT47031,Arizona,5450,No,Basic,Bachelor,2/4/11,Employed,F,76389,Urban,Married,68,5,86,0,7,Personal Auto,Personal L1,Offer1,Web,262,Four-Door Car,Small,A
1184,AY35050,Arizona,7292,No,Extended,College,2/23/11,Unemployed,F,0,Suburban,Married,98,3,70,0,8,Personal Auto,Personal L3,Offer1,Branch,470,Two-Door Car,Medsize,A
1185,EP80820,California,5928,No,Basic,Bachelor,1/27/11,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30,Two-Door Car,Medsize,A
1186,JC33752,Oregon,6277,No,Extended,College,1/21/11,Employed,F,21024,Suburban,Single,82,32,8,1,9,Personal Auto,Personal L3,Offer2,Agent,450,Two-Door Car,Large,A
1187,IU25994,California,31516,No,Extended,College,2/16/11,Unemployed,M,0,Suburban,Married,125,23,4,0,2,Corporate Auto,Corporate L3,Offer3,Branch,626,SUV,Medsize,A
1188,XM39121,Arizona,7955,No,Basic,College,2/23/11,Unemployed,F,0,Suburban,Married,69,11,5,0,2,Personal Auto,Personal L1,Offer1,Web,331,Four-Door Car,Small,A
1189,LU30834,Oregon,14230,No,Basic,Bachelor,2/22/11,Employed,F,78046,Suburban,Divorced,119,22,91,2,2,Personal Auto,Personal L3,Offer1,Call Center,759,SUV,Small,A
1190,AM97901,Nevada,22986,No,Premium,College,1/23/11,Employed,F,84831,Suburban,Single,192,13,37,0,2,Special Auto,Special L1,Offer1,Branch,1336,Sports Car,Medsize,A
1191,PK35830,Oregon,12357,No,Basic,Bachelor,1/2/11,Unemployed,M,0,Suburban,Single,182,4,34,0,5,Personal Auto,Personal L2,Offer1,Branch,1953,Luxury SUV,Medsize,A
1192,BA75404,Oregon,5789,No,Basic,Doctor,1/19/11,Employed,F,77221,Urban,Married,71,2,49,0,7,Personal Auto,Personal L3,Offer2,Call Center,259,Four-Door Car,Medsize,A
1193,RX14132,California,7228,No,Basic,High School or Below,1/6/11,Employed,M,25926,Suburban,Married,61,28,68,0,2,Personal Auto,Personal L1,Offer4,Agent,292,Two-Door Car,Small,A
1194,AU46604,California,2030,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,64,0,8,1,1,Personal Auto,Personal L2,Offer2,Agent,731,Four-Door Car,Small,A
1195,BF72793,California,6732,No,Basic,High School or Below,1/28/11,Unemployed,F,0,Suburban,Single,62,10,31,0,2,Personal Auto,Personal L3,Offer2,Agent,446,Two-Door Car,Medsize,A
1196,WV37081,California,5158,No,Basic,College,1/13/11,Employed,M,25963,Urban,Married,66,11,35,0,9,Personal Auto,Personal L3,Offer2,Web,298,Four-Door Car,Medsize,A
1197,SN69015,California,6371,No,Extended,College,1/4/11,Employed,M,23797,Suburban,Married,81,10,57,0,3,Personal Auto,Personal L2,Offer2,Web,388,Four-Door Car,Medsize,A
1198,OY74069,Arizona,3538,No,Basic,College,1/15/11,Unemployed,F,0,Suburban,Single,67,12,67,5,7,Personal Auto,Personal L2,Offer4,Call Center,321,Four-Door Car,Medsize,A
1199,YH86106,Arizona,5764,No,Basic,Bachelor,2/11/11,Employed,M,40238,Suburban,Married,73,17,88,1,9,Personal Auto,Personal L3,Offer1,Branch,350,Four-Door Car,Medsize,A
1200,MA43940,Oregon,9343,No,Basic,High School or Below,2/13/11,Employed,M,75909,Suburban,Married,117,23,77,0,3,Special Auto,Special L3,Offer3,Branch,561,Sports Car,Medsize,A
1201,SV34223,California,20477,No,Basic,College,1/1/11,Employed,F,58317,Suburban,Married,73,0,56,0,2,Personal Auto,Personal L2,Offer4,Call Center,350,Four-Door Car,Medsize,A
1202,PE66545,Oregon,2545,No,Basic,Bachelor,2/1/11,Employed,M,29250,Suburban,Married,64,27,30,0,1,Personal Auto,Personal L3,Offer4,Agent,308,Two-Door Car,Small,A
1203,VF72557,Oregon,4772,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638,SUV,Medsize,A
1204,DE21910,Oregon,7304,No,Extended,College,2/18/11,Employed,F,41025,Rural,Married,92,22,92,0,6,Personal Auto,Personal L3,Offer1,Agent,20,Four-Door Car,Large,A
1205,AW18068,Arizona,9468,No,Extended,High School or Below,2/22/11,Unemployed,M,0,Suburban,Single,88,6,47,0,2,Personal Auto,Personal L1,Offer1,Agent,633,Two-Door Car,Medsize,A
1206,XJ40322,California,5294,No,Basic,High School or Below,1/6/11,Employed,F,61687,Rural,Single,67,13,17,0,3,Personal Auto,Personal L2,Offer4,Web,120,Two-Door Car,Medsize,A
1207,MR50410,Nevada,5067,No,Extended,College,2/24/11,Employed,M,89703,Urban,Married,126,6,54,0,1,Personal Auto,Personal L1,Offer4,Branch,601,SUV,Medsize,A
1208,HD56196,Oregon,34090,No,Extended,Doctor,1/24/11,Employed,F,51840,Rural,Married,94,10,75,0,2,Corporate Auto,Corporate L1,Offer2,Agent,33,Two-Door Car,Small,A
1209,QW88350,Washington,7618,No,Basic,College,2/23/11,Employed,F,41900,Urban,Married,63,0,34,0,2,Corporate Auto,Corporate L3,Offer2,Web,170,Four-Door Car,Large,A
1210,SM16060,Arizona,4811,No,Basic,College,2/15/11,Unemployed,F,0,Suburban,Single,68,34,37,0,6,Personal Auto,Personal L2,Offer1,Web,619,Two-Door Car,Small,A
1211,WX30852,Arizona,2639,No,Basic,Bachelor,2/4/11,Employed,F,69819,Rural,Married,66,24,20,0,1,Personal Auto,Personal L1,Offer4,Agent,21,Four-Door Car,Medsize,A
1212,CF15252,Arizona,4344,No,Basic,Bachelor,2/25/11,Employed,F,48054,Suburban,Married,109,2,64,0,1,Personal Auto,Personal L1,Offer1,Call Center,523,SUV,Medsize,A
1213,IN95983,California,6798,No,Extended,College,1/10/11,Employed,F,32517,Suburban,Single,94,11,53,3,3,Special Auto,Special L3,Offer1,Branch,451,Four-Door Car,Small,A
1214,OR78439,Arizona,8658,Yes,Basic,College,2/7/11,Employed,M,62464,Urban,Married,109,23,45,0,4,Corporate Auto,Corporate L3,Offer2,Agent,400,Sports Car,Medsize,A
1215,AZ74055,Oregon,4115,No,Premium,High School or Below,2/23/11,Employed,M,52405,Suburban,Married,103,2,27,0,1,Personal Auto,Personal L3,Offer4,Call Center,494,Four-Door Car,Medsize,A
1216,OP70207,Oregon,10506,No,Extended,College,2/14/11,Employed,M,37934,Urban,Divorced,137,2,58,1,8,Personal Auto,Personal L3,Offer1,Call Center,385,Sports Car,Medsize,A
1217,TD19026,California,2861,No,Basic,High School or Below,2/22/11,Employed,F,90083,Urban,Married,71,23,47,0,1,Personal Auto,Personal L3,Offer4,Agent,181,Two-Door Car,Medsize,A
1218,XB27698,Oregon,8622,Yes,Basic,Bachelor,2/18/11,Employed,M,97361,Suburban,Single,73,6,85,0,2,Personal Auto,Personal L1,Offer1,Agent,350,Four-Door Car,Medsize,A
1219,FB84235,Oregon,5498,Yes,Basic,College,2/5/11,Medical Leave,M,22520,Suburban,Married,73,17,64,0,3,Personal Auto,Personal L2,Offer1,Branch,350,Four-Door Car,Medsize,A
1220,VH41477,Oregon,4742,No,Premium,High School or Below,1/10/11,Employed,M,63891,Rural,Married,119,13,13,0,1,Corporate Auto,Corporate L3,Offer4,Agent,7,Two-Door Car,Medsize,A
1221,XQ19310,California,5006,No,Basic,High School or Below,1/16/11,Unemployed,F,0,Suburban,Single,71,16,4,0,5,Personal Auto,Personal L3,Offer2,Call Center,358,Two-Door Car,Medsize,A
1222,JZ61712,Nevada,3359,No,Extended,Bachelor,2/10/11,Employed,M,97576,Suburban,Married,83,1,49,1,1,Personal Auto,Personal L3,Offer4,Call Center,544,Two-Door Car,Large,A
1223,WB21698,California,3723,No,Extended,High School or Below,2/7/11,Employed,F,31974,Urban,Married,92,25,77,0,1,Personal Auto,Personal L3,Offer2,Branch,388,Four-Door Car,Medsize,A
1224,PK79296,California,2602,No,Basic,College,2/1/11,Disabled,F,28995,Suburban,Married,67,28,42,0,1,Personal Auto,Personal L3,Offer2,Branch,321,Four-Door Car,Medsize,A
1225,YQ99152,Nevada,9787,No,Extended,High School or Below,1/7/11,Retired,M,10475,Suburban,Married,88,13,81,1,2,Personal Auto,Personal L2,Offer1,Branch,422,Two-Door Car,Small,A
1226,HU89665,Oregon,12128,No,Basic,College,2/25/11,Employed,F,20495,Suburban,Married,61,7,36,0,2,Personal Auto,Personal L3,Offer2,Agent,292,Four-Door Car,Medsize,A
1227,OH11674,Arizona,8068,No,Basic,Bachelor,1/27/11,Employed,F,51584,Suburban,Divorced,69,11,98,2,2,Corporate Auto,Corporate L1,Offer1,Branch,368,Two-Door Car,Small,A
1228,GK67747,Washington,4386,Yes,Basic,College,2/11/11,Retired,M,10621,Suburban,Single,67,28,22,0,5,Special Auto,Special L3,Offer1,Agent,321,Four-Door Car,Medsize,A
